Imgs;Steering
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_05_813.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_05_896.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_05_992.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_06_088.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_06_187.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_06_284.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_06_388.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_06_489.jpg;-0.5000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_06_585.jpg;-0.7500002
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_06_682.jpg;-0.9500002
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_06_815.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_06_906.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_06_998.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_07_076.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_07_181.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_07_285.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_07_384.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_07_482.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_07_577.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_07_680.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_07_778.jpg;-0.5000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_07_876.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_07_977.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_08_076.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_08_168.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_08_261.jpg;-0.2
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_08_363.jpg;-0.45
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_08_462.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_08_553.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_08_647.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_08_745.jpg;-0.5000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_08_843.jpg;-0.7500002
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_08_937.jpg;-0.9500002
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_09_032.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_09_125.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_09_221.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_09_319.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_09_413.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_09_507.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_09_605.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_09_702.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_09_796.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_09_897.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_09_992.jpg;-0.5000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_10_080.jpg;-0.7
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_10_194.jpg;-1
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_10_351.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_10_457.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_10_595.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_10_711.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_10_810.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_10_893.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_10_985.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_11_079.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_11_174.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_11_237.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_11_333.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_11_431.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_11_525.jpg;-0.5000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_11_625.jpg;-0.7500002
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_11_721.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_11_828.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_11_925.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_12_021.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_12_121.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_12_218.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_12_313.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_12_404.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_12_493.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_12_589.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_12_686.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_12_785.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_12_880.jpg;-0.45
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_12_984.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_13_079.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_13_184.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_13_290.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_13_387.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_13_477.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_13_584.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_13_680.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_13_786.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_13_885.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_13_989.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_14_097.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_14_194.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_14_288.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_14_386.jpg;-0.5000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_14_493.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_14_598.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_14_698.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_14_796.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_14_895.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_15_001.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_15_096.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_15_195.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_15_297.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_15_399.jpg;-0.5000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_15_494.jpg;-0.7500002
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_15_597.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_15_701.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_15_812.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_15_912.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_16_008.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_16_113.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_16_215.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_16_310.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_16_417.jpg;-0.5000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_16_518.jpg;-0.7500002
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_16_620.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_16_718.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_16_814.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_16_917.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_17_016.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_17_113.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_17_213.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_17_310.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_17_411.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_17_507.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_17_607.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_17_703.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_17_810.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_17_909.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_18_008.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_18_109.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_18_198.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_18_309.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_18_415.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_18_514.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_18_622.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_18_720.jpg;-0.5000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_18_813.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_18_915.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_19_031.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_19_134.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_19_240.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_19_337.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_19_442.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_19_545.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_19_638.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_19_746.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_19_843.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_19_964.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_20_076.jpg;-0.3
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_20_179.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_20_269.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_20_386.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_20_486.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_20_590.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_20_706.jpg;-0.3
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_20_812.jpg;-0.5500001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_20_915.jpg;-0.8000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_21_005.jpg;-1
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_21_120.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_21_236.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_21_327.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_21_419.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_21_510.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_21_612.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_21_706.jpg;0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_21_803.jpg;0.45
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_21_912.jpg;0.7500002
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_21_994.jpg;0.9500002
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_22_106.jpg;1
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_22_204.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_22_307.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_22_394.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_22_488.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_22_597.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_22_697.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_22_801.jpg;-0.5000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_22_904.jpg;-0.8000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_23_005.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_23_107.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_23_285.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_23_391.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_23_421.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_23_521.jpg;-0.5000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_23_698.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_23_803.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_23_907.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_24_007.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_24_113.jpg;-0.5000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_24_218.jpg;-0.7500002
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_24_319.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_24_423.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_24_536.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_24_637.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_24_740.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_24_839.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_24_935.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_24_965.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_25_071.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_25_166.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_25_267.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_25_368.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_25_469.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_25_569.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_25_674.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_25_781.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_25_878.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_25_986.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_26_086.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_26_184.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_26_284.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_26_402.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_26_504.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_26_610.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_26_712.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_26_817.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_26_907.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_27_010.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_27_118.jpg;-0.5000001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_27_235.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_27_341.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_27_446.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_27_553.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_27_658.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_27_762.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_27_845.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_27_953.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_28_053.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_28_158.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_28_264.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_28_382.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_28_493.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_28_597.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_28_703.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_28_808.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_28_913.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_29_008.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_29_111.jpg;-0.25
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_29_226.jpg;-0.5500001
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_29_327.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_29_424.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_29_548.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_29_641.jpg;0.2
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_29_741.jpg;0.45
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_29_849.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_29_953.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_30_057.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_30_161.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_30_267.jpg;0.3
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_30_373.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_30_479.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_30_587.jpg;-0.3
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_30_695.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_30_800.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_30_912.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_31_020.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_31_129.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_31_237.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_31_344.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_31_448.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_31_559.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_31_676.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_31_799.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_31_914.jpg;0
C:\Users\Tune and Tones\Documents\testdata\IMG\center_2026_08_02_15_41_32_013.jpg;0
